compound_name,smiles,formal_charge,n_unpaired_electrons,n
cid-5141150,Fc1ccccc1NC(=S)N(CC[NH+]1CCCCC1)Cc1ccco1,1,0,25
cid-9942612,CCCCOc1ccc2[nH]cc(CO)c2c1,0,0,16
cid-112322230,CCCC(O)CNC(C)c1ccc(C)c(F)c1,0,0,17
cid-57528548,CC1(C)CC(C)(C)c2cc(C(=O)/C=C/c3ccc(C(=O)OCC[Si](C)(C)C)cc3F)ccc21,0,0,33
cid-104838554,CC(Cl)c1nc2c(Cl)cccc2n1CCCC(F)(F)F,0,0,20
cid-65852651,CCNC(Cc1cc(C)nn1C)c1ccccc1F,0,0,19
cid-115653798,Cc1ccoc1CNCCN1CCSCC1,0,0,16
cid-8218207,Cc1cc(Cl)cc(C)c1OCC(=O)O[C@H](C)c1nnc(-c2ccc(F)cc2)o1,0,0,28
cid-104650204,CCC1CN(CCCCOC)C(Cc2ccccc2)CN1,0,0,21
cid-170267772,N#Cc1ccccc1-c1cc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)ccc1-n1c2ccccc2c2ccc3c4ccccc4sc3c21,0,0,52
cid-134702474,CC(C)C1=NOC(C(=O)N2CCCN(C(=O)c3cc(N)n[nH]3)CC2)C1,0,0,25
cid-90308975,CC1(CCl)N=C(c2cnc3ccccc3c2)c2ccccc2C1(Br)Br,0,0,25
cid-24025860,Cc1cc(NC(=O)c2sc3nc(N)c(C#N)c(-c4ccsc4)c3c2N)c2ccccc2n1,0,0,32
cid-20412285,CCOc1ccccc1NC(=S)Nc1ccc(Cl)cc1F,0,0,21
cid-78403734,CC1N=C2C3C=CC=CC3=NC(=S)N2C1=O,0,0,16
cid-119572971,CC(CN)(NC(=O)CCNS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C1CC1,0,0,25
cid-133309882,N#Cc1cccc(NC2CCN(c3ccccc3Br)C2)n1,0,0,21
cid-67435115,CC(=O)NCCNc1ncc(N2CCCC2(O)CO)cc1N,0,0,22
cid-13799805,CS(=O)(=O)N(SC(Cl)(Cl)C(Cl)Cl)C1(C#N)CCCCC1,0,0,20
cid-80548474,CNC(=O)C1CCCN1C(=O)C(C)C(N)c1ccccc1,0,0,21
cid-82749011,CN(C(=O)c1n[nH]c(C2CC2)c1S(N)(=O)=O)C1CCOC1,0,0,21
cid-4009460,C=CCN(Cc1cccn1Cc1cccc(F)c1)C(=O)c1ccccc1F,0,0,27
cid-44145934,CCCCCCCC/C=C/CCCCCCCCOP(=O)(O)OCCCCCCCCCCCCCCCCCC,0,0,41
cid-139369223,CC(C)(O)[C@H]1CC[C@H](N(Cc2ccccc2)Cc2ccccc2)CO1,0,0,25
cid-16409752,CCCCCCCCCCCCCCCCn1cc[n+](C/C(C)=N/O)c1,1,0,26
cid-119288996,CC(Cc1cccs1)NC(=O)CCCN,0,0,15
cid-51154984,CC(C)(C)C(=O)Nc1cccc(S(=O)(=O)NCc2ccco2)c1,0,0,23
cid-100162152,CCOC(=O)c1ccc(NS(=O)(=O)c2c(C)noc2C)c(C)c1,0,0,23
cid-65156166,NC(=S)CCN(C(=O)CCC1CCCO1)c1ccccc1,0,0,21
cid-107668979,CC(C)C(COc1ccc(C#N)cc1F)CS(N)(=O)=O,0,0,20
cid-17012575,Cc1c(C(=O)NCC2(N3CCN(C)CC3)CCCCC2)oc2ccc(Br)cc12,0,0,28
cid-66769118,CC1CCC(C2(CN)CCCC2)CC1,0,0,14
cid-168934082,Cn1cc(C(C)(CN)c2ccn(C)n2)cn1,0,0,16
cid-97428247,O=S(=O)(Nc1cnn([C@@H]2CCOC2)c1)c1cccc(C(F)(F)F)c1,0,0,24
cid-164436032,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)NC(COP(=O)([O-])OCC[N+](C)(C)C)C(O)/C=C/CCCCCCCCCCC,0,0,72
cid-10182765,Brc1cccc(-c2ncc(Br)c(Nc3ccc4ncccc4c3)n2)c1,0,0,25
cid-84166719,Cc1ccccc1N1CC(CO)N(C)C(C)(C)C1,0,0,18
cid-59531231,CC#CC(C)(C)C(C)[C@@H](/C=C/[C@@H]1[C@H]2CC3(C[C@H]2C[C@H]1O[Si](C)(C)C(C)(C)C)OCC(=CC(C)(C)C(C)(C)C(C)(C)C(=O)O)CO3)O[Si](C)(C)C(C)(C)C,0,0,53
cid-79826537,NC(Cc1nc2ccccc2s1)Cc1ccc(F)cc1F,0,0,21
cid-104606455,Nc1cccc(CNc2ncc(F)cn2)c1,0,0,16
cid-19887444,CC1(C)C=C(n2cc([N+](=O)[O-])cc(Cl)c2=O)c2cc(C#N)ccc2C1,0,0,25
cid-72103907,Cc1c(NC(=O)N(CCC#N)CCCN(C)C)cccc1OCC(F)(F)F,0,0,27
cid-92710367,Cc1ccc(C(=O)NC[C@H]2COCCO2)cc1NC(=O)C1=CSCCO1,0,0,26
cid-47064596,CCOc1ccc(/C=C/C(=O)Nc2ccccc2Cn2cncn2)cc1,0,0,26
